PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29978138","A case of primary extranodal natural killer/T-cell lymphoma in the orbit and intraocular tissues with cerebrospinal fluid involvement","Okada A, Harada Y, Inoue T, Okikawa Y, Ichinohe T, Kiuchi Y.","Am J Ophthalmol Case Rep. 2018 May 17;11:37-40. doi: 10.1016/j.ajoc.2018.05.002. eCollection 2018 Sep.","Okada A","Am J Ophthalmol Case Rep","2018","2018/07/07","PMC6026719","","10.1016/j.ajoc.2018.05.002"
"27118749","Ocular presentation of natural killer/T-cell lymphoma in a Caucasian man","Hughes E, Fogarty H, Fortune A, Keegan D.","BMJ Case Rep. 2016 Apr 26;2016:bcr2016215089. doi: 10.1136/bcr-2016-215089.","Hughes E","BMJ Case Rep","2016","2016/04/28","PMC4854127","","10.1136/bcr-2016-215089"
"28328558","Dacryoadenitis as the Initial Presentation of a Natural Killer T-Cell Lymphoma","Jiménez-Pérez JC, Jakobiec FA, Zakka FR, Yoon MK.","Ophthalmic Plast Reconstr Surg. 2017 Nov/Dec;33(6):e147-e150. doi: 10.1097/IOP.0000000000000889.","Jiménez-Pérez JC","Ophthalmic Plast Reconstr Surg","2017","2017/03/23","","","10.1097/IOP.0000000000000889"
"18438613","Ocular involvement in nasal natural killer T-cell lymphoma","Cimino L, Chan CC, Shen D, Masini L, Ilariucci F, Masetti M, Asioli S, Sartori A, Cappuccini L.","Int Ophthalmol. 2009 Aug;29(4):275-9. doi: 10.1007/s10792-008-9220-8. Epub 2008 Apr 26.","Cimino L","Int Ophthalmol","2009","2008/04/29","PMC2714878","NIHMS55130","10.1007/s10792-008-9220-8"
"22323887","Intraocular involvement of a nasal natural killer T-cell lymphoma: a case report","Yoo JH, Kim SY, Jung KB, Lee JJ, Lee SJ.","Korean J Ophthalmol. 2012 Feb;26(1):54-7. doi: 10.3341/kjo.2012.26.1.54. Epub 2012 Jan 14.","Yoo JH","Korean J Ophthalmol","2012","2012/02/11","PMC3268170","","10.3341/kjo.2012.26.1.54"
"34631546","Case Report: Ocular Manifestations and Treatments of Ciliary Body Involvement by Lymphoma","Di Y, Ye J, Han R, Li M, Zhang B.","Front Oncol. 2021 Sep 23;11:718759. doi: 10.3389/fonc.2021.718759. eCollection 2021.","Di Y","Front Oncol","2021","2021/10/11","PMC8495122","","10.3389/fonc.2021.718759"
"35100995","Extranodal natural killer/T-cell lymphoma presenting as hypopyon panuveitis: a case report","Sukon N, Tesavibul N, Choopong P, Panyayingyong N, Boonsopon S.","BMC Ophthalmol. 2022 Feb 1;22(1):46. doi: 10.1186/s12886-022-02277-2.","Sukon N","BMC Ophthalmol","2022","2022/02/01","PMC8803407","","10.1186/s12886-022-02277-2"
"25226815","A case of extranodal natural killer/T-cell lymphoma mimicking refractory Behçet's disease","Lee H, Kim SH, Lee SW, Zheng Z, Bang D, Kim DY.","Acta Derm Venereol. 2015 Apr;95(4):491-2. doi: 10.2340/00015555-1973.","Lee H","Acta Derm Venereol","2015","2014/09/18","","","10.2340/00015555-1973"
"30882672","A case report of an extranodal NK/T-cell lymphoma nasal type, occurring primarily in eyes with masquerade syndrome","Zhang F, Duan X, Liu K.","Medicine (Baltimore). 2019 Mar;98(11):e14836. doi: 10.1097/MD.0000000000014836.","Zhang F","Medicine (Baltimore)","2019","2019/03/19","PMC6426616","","10.1097/MD.0000000000014836"
"23715149","Ocular masquerade syndrome associated with extranodal nasal natural killer/T-cell lymphoma: case report","Abe RY, Pinto RD, Bonfitto JF, Lira RP, Arieta CE.","Arq Bras Oftalmol. 2012 Nov-Dec;75(6):430-2. doi: 10.1590/s0004-27492012000600013.","Abe RY","Arq Bras Oftalmol","2012","2013/05/30","","","10.1590/s0004-27492012000600013"
