PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33426371","The application of nanoparticles in cancer immunotherapy: Targeting tumor microenvironment","Yang M, Li J, Gu P, Fan X.","Bioact Mater. 2020 Dec 26;6(7):1973-1987. doi: 10.1016/j.bioactmat.2020.12.010. eCollection 2021 Jul.","Yang M","Bioact Mater","2020","2021/01/11","PMC7773537","","10.1016/j.bioactmat.2020.12.010"
"33146564","High-dimensional single-cell analysis reveals the immune characteristics of COVID-19","Shi W, Liu X, Cao Q, Ma P, Le W, Xie L, Ye J, Wen W, Tang H, Su W, Zheng Y, Liu Y.","Am J Physiol Lung Cell Mol Physiol. 2021 Jan 1;320(1):L84-L98. doi: 10.1152/ajplung.00355.2020. Epub 2020 Nov 4.","Shi W","Am J Physiol Lung Cell Mol Physiol","2021","2020/11/04","PMC7869955","","10.1152/ajplung.00355.2020"
"31137150","[Ocular natural killer/T cell lymphoma: a clinicopathologic analysis]","Bi YW, Wang SY, Qian J, Yuan YF, Li XQ, Zhu XZ.","Zhonghua Yan Ke Za Zhi. 2019 May 11;55(5):374-380. doi: 10.3760/cma.j.issn.0412-4081.2019.05.012.","Bi YW","Zhonghua Yan Ke Za Zhi","2019","2019/05/29","","","10.3760/cma.j.issn.0412-4081.2019.05.012"
"33894173","Ocular involvement in extranodal natural-killer T-cell lymphoma","Yang P, Zhong Z, Ye Z, Shu J.","Lancet Haematol. 2021 May;8(5):e382. doi: 10.1016/S2352-3026(20)30398-7.","Yang P","Lancet Haematol","2021","2021/04/24","","","10.1016/S2352-3026(20)30398-7"
"34763717","Extranodal natural killer/T-cell lymphoma nasal type with extensive ocular tissue involvement: a case report","Han R, Jiang Y, Bian A, Meng Z, Chen H, Ye J.","Diagn Pathol. 2021 Nov 11;16(1):104. doi: 10.1186/s13000-021-01167-3.","Han R","Diagn Pathol","2021","2021/11/12","PMC8582105","","10.1186/s13000-021-01167-3"
"26934137","Natural Killer T Cells Contribute to Neutrophil Recruitment and Ocular Tissue Damage in a Model of Intraocular Tumor Rejection","Ligocki AJ, Niederkorn JY.","Invest Ophthalmol Vis Sci. 2016 Mar;57(3):813-23. doi: 10.1167/iovs.15-18786.","Ligocki AJ","Invest Ophthalmol Vis Sci","2016","2016/03/03","PMC4777277","","10.1167/iovs.15-18786"
"27894880","Lymphoma of the eyelid","Svendsen FH, Heegaard S.","Surv Ophthalmol. 2017 May-Jun;62(3):312-331. doi: 10.1016/j.survophthal.2016.11.009. Epub 2016 Nov 26.","Svendsen FH","Surv Ophthalmol","2017","2016/11/30","","","10.1016/j.survophthal.2016.11.009"
"32874983","Natural killer/T-cell lymphoma with intracranial infiltration and Epstein-Barr virus infection: A case report","Li N, Wang YZ, Zhang Y, Zhang WL, Zhou Y, Huang DS.","World J Clin Cases. 2020 Aug 6;8(15):3284-3290. doi: 10.12998/wjcc.v8.i15.3284.","Li N","World J Clin Cases","2020","2020/09/03","PMC7441250","","10.12998/wjcc.v8.i15.3284"
"17440279","Primary ocular natural killer/T-cell lymphomas: clinicopathologic features and diagnosis","Yang Y, Luo Q, He W, Tang L.","Ophthalmologica. 2007;221(3):173-9. doi: 10.1159/000099297.","Yang Y","Ophthalmologica","2007","2007/04/19","","","10.1159/000099297"
"29706604","Clinical characteristics and treatment outcomes of natural killer/T-cell lymphoma involving the ocular adnexa","Lee GI, Kim YD, Young SM, Shin S, Woo KI.","Br J Ophthalmol. 2019 Feb;103(2):269-273. doi: 10.1136/bjophthalmol-2017-311704. Epub 2018 Apr 29.","Lee GI","Br J Ophthalmol","2019","2018/05/01","","","10.1136/bjophthalmol-2017-311704"
"30321569","Primary vitreoretinal natural killer/T-cell lymphoma with breast involvement: A case report and review of the literature","Gao S, Zhou Y, Jin X, Lin Z, Zhong Y, Shen X.","Surv Ophthalmol. 2019 Mar-Apr;64(2):225-232. doi: 10.1016/j.survophthal.2018.10.003. Epub 2018 Oct 13.","Gao S","Surv Ophthalmol","2019","2018/10/16","","","10.1016/j.survophthal.2018.10.003"
"11995808","Ocular immune privilege and CD1d-reactive natural killer T cells","Sonoda KH, Stein-Streilein J.","Cornea. 2002 Mar;21(2 Suppl 1):S33-8. doi: 10.1097/00003226-200203001-00008.","Sonoda KH","Cornea","2002","2002/05/09","","","10.1097/00003226-200203001-00008"
"16360212","Natural killer/T-cell lymphoma with ocular and adnexal involvement","Woog JJ, Kim YD, Yeatts RP, Kim S, Esmaeli B, Kikkawa D, Lee HB, Korn BS, Punja K, Habermann TM, Colgan JP, Salomao D, Cameron JD.","Ophthalmology. 2006 Jan;113(1):140-7. doi: 10.1016/j.ophtha.2005.09.036. Epub 2005 Dec 19.","Woog JJ","Ophthalmology","2006","2005/12/20","","","10.1016/j.ophtha.2005.09.036"
"30400691","[Clinical analysis of 42 cases of nasal natural killer/T-cell lymphoma prominently presenting as ocular symptoms]","Hu ZZ, Wang Y, Jin XL.","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2018 Nov;32(21):1656-1659. doi: 10.13201/j.issn.1001-1781.2018.21.012.","Hu ZZ","Lin Chung Er Bi Yan Hou Tou Jing Wai Ke Za Zhi","2018","2018/11/08","","","10.13201/j.issn.1001-1781.2018.21.012"
"22681504","Orbital involvement in extranodal natural killer T cell lymphoma: an atypical case presentation and review of the literature","Ely A, Evans J, Sundstrom JM, Malysz J, Specht CS, Wilkinson M.","Orbit. 2012 Aug;31(4):267-9. doi: 10.3109/01676830.2011.605506. Epub 2012 Jun 8.","Ely A","Orbit","2012","2012/06/12","","","10.3109/01676830.2011.605506"
"30046247","Pathogenesis and management of adenoviral keratoconjunctivitis","Chigbu DI, Labib BA.","Infect Drug Resist. 2018 Jul 17;11:981-993. doi: 10.2147/IDR.S162669. eCollection 2018.","Chigbu DI","Infect Drug Resist","2018","2018/07/27","PMC6054290","","10.2147/IDR.S162669"
"29227071","[Natural Immunity and Ocular Inflammation]","Sonoda KH.","Fukuoka Igaku Zasshi. 2016 Dec;107(12):205-12.","Sonoda KH","Fukuoka Igaku Zasshi","2016","2017/12/12","","",""
"27118749","Ocular presentation of natural killer/T-cell lymphoma in a Caucasian man","Hughes E, Fogarty H, Fortune A, Keegan D.","BMJ Case Rep. 2016 Apr 26;2016:bcr2016215089. doi: 10.1136/bcr-2016-215089.","Hughes E","BMJ Case Rep","2016","2016/04/28","PMC4854127","","10.1136/bcr-2016-215089"
"33851422","Immunopathophysiology and clinical impact of uveitis in inflammatory rheumatic diseases: An update","Hysa E, Cutolo CA, Gotelli E, Pacini G, Schenone C, Kreps EO, Smith V, Cutolo M.","Eur J Clin Invest. 2021 Aug;51(8):e13572. doi: 10.1111/eci.13572. Epub 2021 May 5.","Hysa E","Eur J Clin Invest","2021","2021/04/14","PMC8365741","","10.1111/eci.13572"
"29978138","A case of primary extranodal natural killer/T-cell lymphoma in the orbit and intraocular tissues with cerebrospinal fluid involvement","Okada A, Harada Y, Inoue T, Okikawa Y, Ichinohe T, Kiuchi Y.","Am J Ophthalmol Case Rep. 2018 May 17;11:37-40. doi: 10.1016/j.ajoc.2018.05.002. eCollection 2018 Sep.","Okada A","Am J Ophthalmol Case Rep","2018","2018/07/07","PMC6026719","","10.1016/j.ajoc.2018.05.002"
"33862224","Altered ocular surface immune cell profile in patients with dry eye disease","Nair AP, D'Souza S, Shetty R, Ahuja P, Kundu G, Khamar P, Dadachanji Z, Paritekar P, Patel P, Dickman MM, Nuijts RM, Mohan RR, Ghosh A, Sethu S.","Ocul Surf. 2021 Jul;21:96-106. doi: 10.1016/j.jtos.2021.04.002. Epub 2021 Apr 20.","Nair AP","Ocul Surf","2021","2021/04/16","","","10.1016/j.jtos.2021.04.002"
"31372366","Classification, diagnosis, and management of conjunctival lymphoma","Tanenbaum RE, Galor A, Dubovy SR, Karp CL.","Eye Vis (Lond). 2019 Jul 27;6:22. doi: 10.1186/s40662-019-0146-1. eCollection 2019.","Tanenbaum RE","Eye Vis (Lond)","2019","2019/08/03","PMC6660942","","10.1186/s40662-019-0146-1"
"18438613","Ocular involvement in nasal natural killer T-cell lymphoma","Cimino L, Chan CC, Shen D, Masini L, Ilariucci F, Masetti M, Asioli S, Sartori A, Cappuccini L.","Int Ophthalmol. 2009 Aug;29(4):275-9. doi: 10.1007/s10792-008-9220-8. Epub 2008 Apr 26.","Cimino L","Int Ophthalmol","2009","2008/04/29","PMC2714878","NIHMS55130","10.1007/s10792-008-9220-8"
"26539557","Gamma Delta (γδ) T Cells and Their Involvement in Behçet's Disease","Hasan MS, Bergmeier LA, Petrushkin H, Fortune F.","J Immunol Res. 2015;2015:705831. doi: 10.1155/2015/705831. Epub 2015 Oct 11.","Hasan MS","J Immunol Res","2015","2015/11/06","PMC4619955","","10.1155/2015/705831"
